iq2,q2_low,q2_high,ixb,xb_low,xb_high,it,t_low,t_high,reliable_phi_bins,overlap_phi_bins,born_sum,radiative_sum,mean_c_rad,median_c_rad,min_c_rad,max_c_rad,mean_delta_c
0,1.0,1.5,0,0.05,0.1,0,0.09,0.15,20,20,279.0,1593.0,0.31541923323786486,0.2909410964241754,0.17264746612531237,0.6414753944940996,0.08978766795800443
0,1.0,1.5,0,0.05,0.1,1,0.15,0.2,19,20,240.0,1316.0,0.3361016487867616,0.3472014686863644,0.17989141575294787,0.706161988896866,0.10172162235982675
0,1.0,1.5,0,0.05,0.1,2,0.2,0.3,20,20,333.0,2066.0,0.28231886268193085,0.2884820066301764,0.18097618810924707,0.3740458271581871,0.07414243902498105
0,1.0,1.5,0,0.05,0.1,3,0.3,0.4,20,20,267.0,1469.0,0.32682898109481323,0.3102366636748426,0.14611807970127336,0.5633096157519316,0.09547430779126397
0,1.0,1.5,0,0.05,0.1,4,0.4,0.6,20,20,285.0,1799.0,0.28154710444631426,0.287559130966196,0.14650453323129525,0.4202231703085418,0.07894867484826287
0,1.0,1.5,0,0.05,0.1,5,0.6,1.0,20,20,268.0,1570.0,0.30369809531693387,0.3044551060480951,0.15977933200417108,0.49543428427367425,0.08800398226666253
0,1.0,1.5,0,0.05,0.1,6,1.0,1.5,13,20,120.0,765.0,0.3658085045734455,0.35993089028429326,0.28220940243437137,0.4828541754870387,0.1403884804054269
0,1.0,1.5,0,0.05,0.1,7,1.5,2.0,4,18,59.0,342.0,0.5076378087367759,0.484983462192753,0.3849921047338599,0.6755922058277376,0.240770938961075
0,1.0,1.5,1,0.1,0.15,0,0.09,0.15,20,20,157620.0,264855.0,1.0072803845062317,1.022503315045999,0.8343148974925795,1.1172195259620024,0.014478476500421255
0,1.0,1.5,1,0.1,0.15,1,0.15,0.2,20,20,128909.0,217857.0,1.0010233686452203,1.0063231896081664,0.8427256042431583,1.1106642069919708,0.01591764923885257
0,1.0,1.5,1,0.1,0.15,2,0.2,0.3,20,20,222574.0,375745.0,1.0024175761631202,1.0051883109516513,0.8407475162391788,1.1163347189033799,0.012139133418916375
0,1.0,1.5,1,0.1,0.15,3,0.3,0.4,20,20,168026.0,283113.0,1.005739912317563,1.0220249165451856,0.8376405101067507,1.116946431179637,0.014000121082856226
0,1.0,1.5,1,0.1,0.15,4,0.4,0.6,20,20,211083.0,356954.0,1.0069850475340818,1.0229999503963594,0.881040179823841,1.1057150354645413,0.012472495862453402
0,1.0,1.5,1,0.1,0.15,5,0.6,1.0,20,20,190295.0,316501.0,1.030081530687478,1.0273281461111812,0.9346955692629275,1.1123584036624823,0.01342711284637447
