row,Q2,xB,minus_t,sigma_U,sigma_U_stat,sigma_U_sys,sigma_LT,sigma_LT_stat,sigma_LT_sys,sigma_TT,sigma_TT_stat,sigma_TT_sys,reported_global_scale
128,2.23,0.275,1.22,30.4,1.01,0,-2.42,0.307,0,-17.8,1.55,0,1.3
129,2.25,0.338,1.21,59.7,1.55,0,-2.55,0.435,0,-51.5,2.04,0,1.3
130,2.32,0.401,1.2,91.5,9.13,0,-12.8,4.13,0,-37.3,8.38,0,1.3
131,2.7,0.23,1.24,13.1,1.32,0,0.981,0.797,0,-6.44,2.53,0,1.3
132,2.71,0.277,1.21,22.4,1.32,0,-1.97,0.659,0,-15.1,2.43,0,1.3
133,2.73,0.341,1.22,38.1,1.15,0,-3.17,0.339,0,-24.8,1.76,0,1.3
134,2.77,0.423,1.2,74.8,2.5,0,-1.89,1.19,0,-57.8,4.07,0,1.3
135,3.2,0.277,1.24,15.4,4.06,0,0.812,3.14,0,-5.41,6.64,0,1.3
136,3.22,0.344,1.22,29.0,1.56,0,-1.53,0.723,0,-12.9,2.35,0,1.3
137,3.24,0.432,1.21,59.7,1.71,0,-3.74,0.723,0,-32.9,3.03,0,1.3
138,3.72,0.346,1.22,19.9,1.79,0,-0.318,0.975,0,-9.57,2.71,0,1.3
139,3.73,0.434,1.22,43.2,2.42,0,-1.62,1.22,0,-19.9,3.7,0,1.3
140,3.77,0.513,1.22,85.4,3.52,0,-5.94,1.72,0,-44.2,6.35,0,1.3
141,4.26,0.346,1.22,11.1,16.1,0,-1.05,11.6,0,-8.64,13.6,0,1.3
142,4.28,0.434,1.23,30.3,3.25,0,1.22,1.89,0,-13.4,3.83,0,1.3
143,4.29,0.53,1.23,65.9,2.66,0,-3.56,1.2,0,-36.3,4.41,0,1.3
144,5.15,0.438,1.24,14.4,1.35,0,-0.0606,0.955,0,-6.67,1.98,0,1.3
145,5.16,0.533,1.23,33.1,1.62,0,-2.47,0.934,0,-21.5,2.9,0,1.3
146,6.42,0.535,1.24,17.8,2.11,0,0.683,1.54,0,-8.36,4.11,0,1.3
147,6.43,0.616,1.24,40.4,4.12,0,1.38,2.54,0,-17.0,8.03,0,1.3
148,1.18,0.131,1.7,7.69,0.635,0,-0.465,0.355,0,-7.59,1.06,0,1.3
149,1.25,0.173,1.71,14.8,0.773,0,-1.37,0.35,0,-12.9,1.5,0,1.3
150,1.29,0.222,1.69,20.3,6.05,0,0.573,2.67,0,-31.2,4.99,0,1.3
151,1.72,0.18,1.72,5.96,1.24,0,-2.68,0.925,0,-8.05,2.28,0,1.3
152,1.75,0.225,1.69,19.6,1.41,0,-0.547,0.747,0,-18.4,2.27,0,1.3
153,1.79,0.272,1.7,26.4,3.8,0,-4.7,1.7,0,-15.3,4.07,0,1.3
154,1.79,0.327,1.69,140.0,27.6,0,-47.0,11.0,0,36.2,15.4,0,1.3
155,2.22,0.228,1.72,7.99,1.06,0,-1.59,0.69,0,-9.46,2.03,0,1.3
156,2.25,0.275,1.7,14.4,1.24,0,-2.5,0.716,0,-16.7,2.37,0,1.3
157,2.27,0.337,1.7,39.3,3.47,0,-8.99,1.62,0,-7.89,3.0,0,1.3
158,2.31,0.4,1.7,68.9,17.9,0,-20.5,7.51,0,8.34,10.7,0,1.3
159,2.71,0.277,1.72,9.54,1.81,0,-1.44,1.11,0,-8.79,2.52,0,1.3
160,2.74,0.34,1.72,20.7,1.18,0,-1.73,0.582,0,-19.9,2.16,0,1.3
161,2.78,0.419,1.71,48.0,6.11,0,-10.8,2.71,0,-14.9,7.32,0,1.3
162,3.22,0.342,1.71,13.8,2.19,0,-2.18,1.26,0,-14.1,2.9,0,1.3
163,3.24,0.429,1.72,29.8,2.09,0,-3.82,0.955,0,-27.5,4.15,0,1.3
164,3.71,0.345,1.73,18.5,10.9,0,5.0,6.66,0,-0.898,8.93,0,1.3
165,3.73,0.435,1.72,23.1,3.04,0,-0.51,1.57,0,-13.6,3.94,0,1.3
166,3.77,0.512,1.72,50.3,7.9,0,4.9,3.1,0,-26.5,12.5,0,1.3
167,4.27,0.346,1.72,9.63,11.2,0,1.08,8.35,0,-3.05,10.8,0,1.3
168,4.27,0.433,1.74,16.4,5.45,0,0.929,3.23,0,-8.79,5.42,0,1.3
169,4.3,0.529,1.73,49.1,8.29,0,-0.867,3.71,0,-9.05,11.3,0,1.3
170,5.13,0.437,1.73,8.31,2.17,0,-0.582,1.64,0,-4.48,3.02,0,1.3
171,5.16,0.536,1.73,21.3,2.0,0,-2.53,1.19,0,-17.1,3.42,0,1.3
172,6.41,0.533,1.73,16.9,4.38,0,0.211,2.96,0,-0.353,7.79,0,1.3
173,6.45,0.618,1.73,29.6,4.89,0,-2.24,2.34,0,-7.77,11.4,0,1.3
174,7.56,0.647,1.74,18.7,2.32,0,0.821,1.52,0,0.0224,4.88,0,1.3
