Q2,xB,minus_t,sigma_U,sigma_U_stat,sigma_U_sys,sigma_LT,sigma_LT_stat,sigma_LT_sys,sigma_TT,sigma_TT_stat,sigma_TT_sys
2.25,0.339,1.22,110.2,2.6,5.4,-13.3,2.3,4.2,-50.4,6.5,6.1
2.25,0.339,1.73,49.9,1.7,4.6,-6.5,1.8,5.7,-32.3,3.7,5.8
2.34,0.403,0.35,472.0,48.0,53.0,-6.0,60.0,79.0,-24.0,105.0,210.0
2.34,0.403,0.49,475.0,20.0,39.0,-22.0,23.0,27.0,-17.0,51.0,53.0
2.34,0.404,0.78,377.0,11.0,17.0,-22.0,10.0,5.8,-150.0,26.0,19.0
2.34,0.404,1.22,192.8,7.4,13.0,-37.3,7.9,4.4,-67.0,16.0,43.0
2.35,0.404,1.73,90.5,6.6,3.1,-22.4,7.4,5.7,-13.0,12.0,8.4
2.71,0.336,0.18,230.0,35.0,29.0,-78.0,52.0,84.0,60.0,90.0,188.0
2.71,0.343,0.25,217.3,8.1,10.0,-6.0,10.0,4.3,-76.0,27.0,22.0
2.71,0.343,0.35,220.5,8.1,8.0,15.5,9.8,7.6,-97.0,27.0,28.0
2.71,0.343,0.49,183.8,6.0,9.4,17.0,7.4,12.0,-120.0,19.0,31.0
2.71,0.343,1.22,51.3,2.4,4.5,9.0,2.7,5.0,-31.5,9.7,16.0
2.72,0.344,0.78,110.4,3.6,5.8,1.8,4.7,5.8,-99.0,14.0,20.0
2.72,0.344,1.73,28.7,1.9,3.5,-2.9,2.2,2.0,-17.2,5.6,9.2
2.75,0.423,0.5,323.0,19.0,21.0,-8.0,23.0,16.0,-60.0,40.0,16.0
2.75,0.423,0.78,232.4,6.9,17.0,4.3,6.4,16.0,-58.0,17.0,24.0
2.75,0.424,1.23,140.7,4.9,9.0,-25.8,5.6,5.8,-16.0,13.0,12.0
2.75,0.424,1.73,69.3,4.6,2.9,-12.8,5.3,3.7,-2.7,9.6,12.0
3.12,0.362,0.35,219.0,33.0,139.0,1.0,53.0,213.0,27.0,114.0,398.0
3.12,0.362,0.5,167.0,14.0,20.0,1.0,23.0,59.0,-21.0,71.0,56.0
3.22,0.431,0.78,138.4,6.2,6.5,15.0,7.9,5.5,-77.0,17.0,16.0
3.23,0.428,0.35,277.0,22.0,15.0,-80.0,29.0,16.0,67.0,48.0,20.0
3.23,0.43,0.5,201.0,12.0,17.0,10.0,16.0,17.0,-46.0,30.0,31.0
3.23,0.432,1.23,75.5,3.8,9.2,5.6,4.3,12.0,-77.0,11.0,32.0
3.23,0.432,1.73,65.4,5.0,6.7,18.8,5.7,6.2,35.0,14.0,15.0
3.29,0.496,1.23,140.0,17.0,18.0,-12.0,23.0,9.7,-54.0,45.0,12.0
3.67,0.451,0.78,145.0,36.0,23.0,-22.0,35.0,28.0,8.0,101.0,56.0
3.67,0.451,1.23,77.0,15.0,1.8,2.0,17.0,2.9,-24.0,48.0,8.8
3.68,0.451,0.49,185.0,26.0,18.0,-32.0,39.0,29.0,-38.0,66.0,57.0
3.68,0.451,1.73,47.0,6.9,3.9,-14.7,9.4,7.3,-27.0,27.0,7.9
3.76,0.513,0.78,190.0,37.0,40.0,24.0,46.0,37.0,-39.0,56.0,41.0
3.76,0.514,1.23,132.0,13.0,11.0,1.0,14.0,8.4,-17.0,37.0,40.0
4.23,0.539,0.78,178.0,42.0,45.0,-28.0,60.0,57.0,-34.0,74.0,64.0
